PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
902,0,3,"Ilieff, Mr. Ylio",male,,0,0,349220,7.8958,,S
914,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0,0,PC 17598,31.6833,,S
921,0,3,"Samaan, Mr. Elias",male,,2,0,2662,21.6792,,C
925,1,3,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female,,1,2,W./C. 6607,23.45,,S
928,1,3,"Roth, Miss. Sarah A",female,,0,0,342712,8.05,,S
931,0,3,"Hee, Mr. Ling",male,,0,0,1601,56.4958,,S
933,0,1,"Franklin, Mr. Thomas Parham",male,,0,0,113778,26.55,D34,S
939,0,3,"Shaughnessy, Mr. Patrick",male,,0,0,370374,7.75,,Q
946,0,2,"Mangiavacchi, Mr. Serafino Emilio",male,,0,0,SC/A.3 2861,15.5792,,C
950,0,3,"Davison, Mr. Thomas Henry",male,,1,0,386525,16.1,,S
957,1,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,,0,0,F.C.C. 13534,21.0,,S
968,0,3,"Miles, Mr. Frank",male,,0,0,359306,8.05,,S
975,0,3,"Demetri, Mr. Marinko",male,,0,0,349238,7.8958,,S
976,0,2,"Lamb, Mr. John Joseph",male,,0,0,240261,10.7083,,Q
977,0,3,"Khalil, Mr. Betros",male,,1,0,2660,14.4542,,C
980,1,3,"O'Donoghue, Ms. Bridget",female,,0,0,364856,7.75,,Q
983,0,3,"Pedersen, Mr. Olaf",male,,0,0,345498,7.775,,S
985,0,3,"Guest, Mr. Robert",male,,0,0,376563,8.05,,S
994,0,3,"Foley, Mr. William",male,,0,0,365235,7.75,,Q
999,0,3,"Ryan, Mr. Edward",male,,0,0,383162,7.75,,Q
1000,0,3,"Willer, Mr. Aaron (Abi Weller"")""",male,,0,0,3410,8.7125,,S
1003,1,3,"Shine, Miss. Ellen Natalia",female,,0,0,330968,7.7792,,Q
1008,0,3,"Thomas, Mr. John",male,,0,0,2681,6.4375,,C
1013,0,3,"Kiernan, Mr. John",male,,1,0,367227,7.75,,Q
1016,0,3,"Kennedy, Mr. John",male,,0,0,368783,7.75,,Q
1019,1,3,"McCoy, Miss. Alicia",female,,2,0,367226,23.25,,Q
1024,1,3,"Lefebre, Mrs. Frank (Frances)",female,,0,4,4133,25.4667,,S
1025,0,3,"Thomas, Mr. Charles P",male,,1,0,2621,6.4375,,C
1038,0,1,"Hilliard, Mr. Herbert Henry",male,,0,0,17463,51.8625,E46,S
1040,0,1,"Crafton, Mr. John Bertram",male,,0,0,113791,26.55,,S
1043,0,3,"Matinoff, Mr. Nicola",male,,0,0,349255,7.8958,,C
1044,0,3,"Storey, Mr. Thomas",male,60.5,0,0,3701,,,S
1052,1,3,"Smyth, Miss. Julia",female,,0,0,335432,7.7333,,Q
1055,0,3,"Pearce, Mr. Ernest",male,,0,0,343271,7.0,,S
1060,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,C
1062,0,3,"Lithman, Mr. Simon",male,,0,0,S.O./P.P. 251,7.55,,S
1065,0,3,"Torfa, Mr. Assad",male,,0,0,2673,7.2292,,C
1075,0,3,"Lane, Mr. Patrick",male,,0,0,7935,7.75,,Q
1080,1,3,"Sage, Miss. Ada",female,,8,2,CA. 2343,69.55,,S
1083,0,1,"Salomon, Mr. Abraham L",male,,0,0,111163,26.0,,S
1091,1,3,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",female,,0,0,65305,8.1125,,S
1092,1,3,"Murphy, Miss. Nora",female,,0,0,36568,15.5,,Q
1097,0,1,"Omont, Mr. Alfred Fernand",male,,0,0,F.C. 12998,25.7417,,C
1103,0,3,"Finoli, Mr. Luigi",male,,0,0,SOTON/O.Q. 3101308,7.05,,S
1108,1,3,"Mahon, Miss. Bridget Delia",female,,0,0,330924,7.8792,,Q
1111,0,3,"Thomson, Mr. Alexander Morrison",male,,0,0,32302,8.05,,S
1117,1,3,"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",female,,0,2,2661,15.2458,,C
1119,1,3,"McNeill, Miss. Bridget",female,,0,0,370368,7.75,,Q
1125,0,3,"Linehan, Mr. Michael",male,,0,0,330971,7.8792,,Q
1135,0,3,"Hyman, Mr. Abraham",male,,0,0,3470,7.8875,,S
1136,0,3,"Johnston, Master. William Arthur Willie""""",male,,1,2,W./C. 6607,23.45,,S
1141,1,3,"Khalil, Mrs. Betros (Zahie Maria"" Elias)""",female,,1,0,2660,14.4542,,C
1147,0,3,"MacKay, Mr. George William",male,,0,0,C.A. 42795,7.55,,S
1148,0,3,"Mahon, Mr. John",male,,0,0,AQ/4 3130,7.75,,Q
